jgagnant,tropheesg,cg1,cg2,cg3,cg4,cg5,cg6,cg7,cg8,jperdant,tropheesp,cp1,cp2,cp3,cp4,cp5,cp6,cp7,cp8
#J0UU0VPP8,6686,Skeleton Army,Mega Knight,Boss Bandit,Witch,Ice Spirit,Mini P.E.K.K.A,Archers,The Log,#8PGV00LV,6679,Skeleton Army,Goblin Barrel,Electro Giant,The Log,Valkyrie,Goblin Gang,Furnace,Princess
#8PGV00LV,6649,Skeleton Army,Goblin Barrel,Electro Giant,The Log,Valkyrie,Goblin Gang,Furnace,Princess,#VL0CYP8V2,6652,P.E.K.K.A,Bomber,Electro Wizard,Goblin Giant,Goblin Machine,Arrows,Rage,Goblin Curse
#8PGV00LV,6619,Skeleton Army,Goblin Barrel,Electro Giant,The Log,Valkyrie,Goblin Gang,Furnace,Princess,#VPYV989R2,6619,Wizard,Giant,Prince,Guards,Miner,Mega Minion,Arrows,Zap
#GL8RCQ8Q0,6290,Mega Knight,Witch,Ice Spirit,Golden Knight,Dart Goblin,Arrows,Guards,Royal Delivery,#200PJQ9Y0P,4835,Mega Knight,Inferno Dragon,Goblin Gang,Royal Ghost,Spear Goblins,Electro Wizard,Zap,Skeleton Barrel
#CUCQ9U90Q,8809,Valkyrie,Electro Dragon,Wizard,Barbarians,Musketeer,Mother Witch,Berserker,Mini P.E.K.K.A,#GL8RCQ8Q0,6290,Mega Knight,Witch,Ice Spirit,Golden Knight,Dart Goblin,Arrows,Guards,Royal Delivery
#898C8G2VR,5675,Minion Horde,Guards,Royal Hogs,Mother Witch,Mega Knight,Witch,Clone,Lumberjack,#GL8RCQ8Q0,6290,Skeleton King,Freeze,Lumberjack,Balloon,Mirror,Clone,Rage,Inferno Tower
#JJVQ8JQ2L,5921,Valkyrie,Skeleton Army,The Log,Dark Prince,Musketeer,Princess,Goblin Cage,Mini P.E.K.K.A,#20J2PCPQRP,5917,Hog Rider,Ice Wizard,Golden Knight,Suspicious Bush,The Log,Princess,Witch,Barbarian Barrel
#2YJVY0UYG,5951,Bowler,Hog Rider,Minion Horde,Musketeer,Skeleton Army,Baby Dragon,Goblin Barrel,Zap,#JJVQ8JQ2L,5950,Valkyrie,Skeleton Army,The Log,Dark Prince,Musketeer,Princess,Goblin Cage,Mini P.E.K.K.A
#JJVQ8JQ2L,5920,Valkyrie,Skeleton Army,The Log,Dark Prince,Musketeer,Princess,Goblin Cage,Mini P.E.K.K.A,#V0Y8R02UL,5925,P.E.K.K.A,Goblin Curse,Miner,Skeleton King,Wall Breakers,Executioner,Rage,Inferno Dragon
#JJVQ8JQ2L,5890,Valkyrie,Skeleton Army,The Log,Dark Prince,Musketeer,Princess,Goblin Cage,Mini P.E.K.K.A,#20GYU99YPC,5896,Tesla,Electro Dragon,Skeleton King,The Log,Bats,Mega Knight,Skeleton Army,Ram Rider
